Julian Date	Gregorian Day	Magnitude	Id Reference	Reference Text
2437038.88	Apr 14, 1960 9h7m	11.51	31	P.Tempesti, Mem.SAIT.,32,249,1961
2437039.9	Apr 15, 1960 9h35m	11.46	31	P.Tempesti, Mem.SAIT.,32,249,1961
2437040.91	Apr 16, 1960 9h50m	11.93	31	P.Tempesti, Mem.SAIT.,32,249,1961
2437043.9	Apr 19, 1960 9h35m	11.63	31	P.Tempesti, Mem.SAIT.,32,249,1961
2437044.9	Apr 20, 1960 9h35m	11.59	31	P.Tempesti, Mem.SAIT.,32,249,1961
2437046.34	Apr 21, 1960 20h9m	11.6	20	F.Bertola, A.J.,69,236,1964
2437046.4	Apr 21, 1960 21h35m	11.53	34	G.Mannino, Mem. SAIT.,33,147,1962
2437047.3	Apr 22, 1960 19h11m	11.74	34	G.Mannino, Mem. SAIT.,33,147,1962
2437047.3	Apr 22, 1960 19h11m	11.68	30	D.Yu.Tsvetkov, Perem.Zvezdy, 22,39,1983
2437048.36	Apr 23, 1960 20h38m	11.78	33	G.G.Kuzmin, H.Eelsalu, Astron. Tsirk.,NO 214,1960
2437048.4	Apr 23, 1960 21h35m	12.05	34	G.Mannino, Mem. SAIT.,33,147,1962
2437049.37	Apr 24, 1960 20h52m	12	    32	A.G.Krylov, Astron.Tsirk.,No. 211,1960
2437049.39	Apr 24, 1960 21h21m	11.76	33	G.G.Kuzmin, H.Eelsalu, Astron. Tsirk.,NO 214,1960
2437049.4	Apr 24, 1960 21h35m	12.16	34	G.Mannino, Mem. SAIT.,33,147,1962
2437050.3	Apr 25, 1960 19h11m	11.68	30	D.Yu.Tsvetkov, Perem.Zvezdy, 22,39,1983
2437050.39	Apr 25, 1960 21h21m	11.95	32	A.G.Krylov, Astron.Tsirk.,No. 211,1960
2437050.5	Apr 25, 1960 24h0m	12.1	34	G.Mannino, Mem. SAIT.,33,147,1962
2437051.3	Apr 26, 1960 19h11m	12.17	30	D.Yu.Tsvetkov, Perem.Zvezdy, 22,39,1983
2437051.33	Apr 26, 1960 19h55m	12	32	A.G.Krylov, Astron.Tsirk.,No. 211,1960
2437052.3	Apr 27, 1960 19h11m	11.8	30	D.Yu.Tsvetkov, Perem.Zvezdy, 22,39,1983
2437054.37	Apr 29, 1960 20h52m	12.16	33	G.G.Kuzmin, H.Eelsalu, Astron. Tsirk.,NO 214,1960
2437055.27	Apr 30, 1960 18h28m	12.3	32	A.G.Krylov, Astron.Tsirk.,No. 211,1960
2437056.37	May 1, 1960 20h52m	12.55	20	F.Bertola, A.J.,69,236,1964
2437056.5	May 1, 1960 24h0m	12.52	34	G.Mannino, Mem. SAIT.,33,147,1962
2437057.4	May 2, 1960 21h35m	12.68	34	G.Mannino, Mem. SAIT.,33,147,1962
