Julian Date	Gregorian Day	Magnitude	Indmag and Band
2438142.4	Apr 22, 1963 21h35m	15.8	B
2438147.46	Apr 27, 1963 23h2m	14.3	B
2438164.3	May 14, 1963 19h11m	14.03	B
2438166.3	May 16, 1963 19h11m	14.26	B
2438166.4	May 16, 1963 21h35m	14.32	B
2438168.3	May 18, 1963 19h11m	14.6	B
2438170.4	May 20, 1963 21h35m	14.3	B
2438170.5	May 20, 1963 24h0m	14.83	B
2438171.3	May 21, 1963 19h11m	14.94	B
2438172.3	May 22, 1963 19h11m	15.08	B
2438173.4	May 23, 1963 21h35m	15.34	B
2438175.3	May 25, 1963 19h11m	15.48	B
2438176.3	May 26, 1963 19h11m	15.6	B
2438191.3	Jun 10, 1963 19h11m	16.3	B
2438197.3	Jun 16, 1963 19h11m	16.3	B
2438170.5	May 20, 1963 24h0m	13.93	V
