Julian Date	Gregorian Day	Magnitude	Indmag and Band     
2438915.34	Jun 3, 1965 20h9m	17.0	B
2438916.33	Jun 4, 1965 19h55m	16.45   B
2438932.34	Jun 20, 1965 20h9m	12.69	B
2438933.36	Jun 21, 1965 20h38m	12.72   B
2438935.38	Jun 23, 1965 21h7m	12.97   B
2438936.32	Jun 24, 1965 19h40m	12.99   B
2438938.35	Jun 26, 1965 20h24m	13.25   B
2438939.38	Jun 27, 1965 21h7m	13.26   B
2438940.33	Jun 28, 1965 19h55m	13.38   B
2438941.35	Jun 29, 1965 20h24m	13.42   B
2438942.33	Jun 30, 1965 19h55m	13.55   B
2438943.34	Jul 1, 1965 20h9m	13.56   B
2438944.32	Jul 2, 1965 19h40m	13.6    B
2438959.31	Jul 17, 1965 19h26m	15.39   B
