SNID,Julian Date,Magnitude,Magerr,Band,Ref
1971G,2441064.73,14.4,N/A,V        ,N/A
1971G,2441064.73,14.81,N/A,U        ,N/A
1971G,2441064.73,0.34,N/A,(B-V)        ,N/A
1971G,2441064.73,0.07,N/A,(U-B)        ,N/A
1971G,2441064.73,14.42,N/A,V        ,N/A
1971G,2441064.73,14.8,N/A,U        ,N/A
1971G,2441064.73,0.32,N/A,(B-V)        ,N/A
1971G,2441064.73,0.06,N/A,(U-B)        ,N/A
1971G,2441065.77,14.47,N/A,V        ,N/A
1971G,2441065.77,14.97,N/A,U        ,N/A
1971G,2441065.77,0.4,N/A,(B-V)        ,N/A
1971G,2441065.77,0.11,N/A,(U-B)       ,N/A
1971G,2441067.77,14.64,N/A,V        ,N/A
1971G,2441067.77,15.35,N/A,U        ,N/A
1971G,2441067.77,0.51,N/A,(B-V)        ,N/A
1971G,2441067.77,0.2,N/A,(U-B),N/A
1971G,2441068.75,14.8,N/A,V        ,N/A
1971G,2441068.75,15.59,N/A,U        ,N/A
1971G,2441068.75,0.57,N/A,(B-V),N/A
1971G,2441068.75,0.22,N/A,(U-B),N/A
