Julian Date	Gregorian Day	Magnitude	Indmag and Band
2444669.8	Mar 6, 1981 7h11m	11.87	U
2444670.77	Mar 7, 1981 6h28m	11.75	U
2444670.8	Mar 7, 1981 7h11m	11.73	U
2444671.42	Mar 7, 1981 22h4m	11.85	U
2444671.43	Mar 7, 1981 22h19m	11.84	U
2444671.8	Mar 8, 1981 7h11m	11.8	U
2444672.3	Mar 8, 1981 19h11m	11.88	U
2444672.72	Mar 9, 1981 5h16m	11.82	U
2444673.32	Mar 9, 1981 19h40m	11.83	U
2444673.46	Mar 9, 1981 23h2m	11.9	U
2444674.65	Mar 11, 1981 3h35m	12.03	U
2444675.65	Mar 12, 1981 3h35m	12.16	U
2444675.73	Mar 12, 1981 5h31m	11.89	U
2444676.92	Mar 13, 1981 10h4m	12.14	U
2444681.92	Mar 18, 1981 10h4m	12.76	U
2444684.83	Mar 21, 1981 7h55m	13.05	U
2444686.81	Mar 23, 1981 7h26m	13.13	U
2444688.8	Mar 25, 1981 7h11m	13.41	U
2444690.39	Mar 26, 1981 21h21m	13.85	U
2444691.8	Mar 28, 1981 7h11m	14.4	U
2444695.3	Mar 31, 1981 19h11m	14.3	U
2444695.35	Mar 31, 1981 20h24m	14.49	U
2444696.65	Apr 2, 1981 3h35m	14.48	U
2444704.39	Apr 9, 1981 21h21m	14.91	U
2444704.45	Apr 9, 1981 22h48m	14.98	U
2444705.36	Apr 10, 1981 20h38m	14.98	U
2444705.45	Apr 10, 1981 22h48m	15.23	U
2444706.45	Apr 11, 1981 22h48m	15.21	U
2444719.28	Apr 24, 1981 18h43m	15.74	U
2444728.28	May 3, 1981 18h43m	16.25	U
2444729.7	May 5, 1981 4h48m	15.71	U
2444663.75	Feb 28, 1981 6h0m	13.4	B
2444666.44	Mar 2, 1981 22h33m	12.42	B
2444666.47	Mar 2, 1981 23h16m	12.38	B
2444669.8	Mar 6, 1981 7h11m	12.1	B
2444670.35	Mar 6, 1981 20h24m	12.07	B
2444670.35	Mar 6, 1981 20h24m	12.13	B
2444670.77	Mar 7, 1981 6h28m	11.99	B
