Julian Date,Gregorian Day,Magnitude,Id Reference,Ref,Band,Magerr
2445434.66,"Apr 10, 1983 3h50m",13.34,200,"C.J.Peterson, IAU Circ. No.3814, 1983   U",U,N/A
2445435.64,"Apr 11, 1983 3h21m",13.43,200,"C.J.Peterson, IAU Circ. No.3814, 1983   U   ",U,N/A
2445438.74,"Apr 14, 1983 5h45m",13.48,199,"R.J.Buta et al., PASP, 97, 229, 1985   U",U,N/A
2445440.84,"Apr 16, 1983 8h9m",13.79,199,"R.J.Buta et al., PASP, 97, 229, 1985   U",U,N/A
2445441.77,"Apr 17, 1983 6h28m",14.12,200,"C.J.Peterson, IAU Circ. No.3814, 1983   U",U,N/A
2445442.78,"Apr 18, 1983 6h43m",14.15,200,"C.J.Peterson, IAU Circ. No.3814, 1983   U",U,N/A
2445443.77,"Apr 19, 1983 6h28m",14.17,200,"C.J.Peterson, IAU Circ. No.3814, 1983   U",U,N/A
2445464.68,"May 10, 1983 4h19m",16.21,199,"R.J.Buta et al., PASP, 97, 229, 1985   U",U,N/A
2445465.65,"May 11, 1983 3h35m",16.31,199,"R.J.Buta et al., PASP, 97, 229, 1985   U",U,N/A
2445466.65,"May 12, 1983 3h35m",16.34,199,"R.J.Buta et al., PASP, 97, 229, 1985   U",U,N/A
2445495.6,"Jun 10, 1983 2h24m",16.89,199,"R.J.Buta et al., PASP, 97, 229, 1985   U",U,N/A
2445434.4,"Apr 9, 1983 21h35m",13.05,1582,"D.Yu.Tsvetkov, Astron.Zhur., 62, 365, 1985      B",B,N/A
2445434.66,"Apr 10, 1983 3h50m",13.03,200,"C.J.Peterson, IAU Circ. No.3814, 1983      B",B,N/A
2445435.64,"Apr 11, 1983 3h21m",13.08,200,"C.J.Peterson, IAU Circ. No.3814, 1983      B",B,N/A
2445438.74,"Apr 14, 1983 5h45m",13.27,199,"R.J.Buta et al., PASP, 97, 229, 1985      B",B,N/A
2445439.34,"Apr 14, 1983 20h9m",13.45,202,"S.Benetti,E.Cappellaro,M.Turatto, A.A., v.247,n.2,p.410,1991      B",B,N/A
2445440.84,"Apr 16, 1983 8h9m",13.48,199,"R.J.Buta et al., PASP, 97, 229, 1985      B",B,N/A
2445441.77,"Apr 17, 1983 6h28m",13.86,200,"C.J.Peterson, IAU Circ. No.3814, 1983      B",B,N/A
2445442.78,"Apr 18, 1983 6h43m",13.86,200,"C.J.Peterson, IAU Circ. No.3814, 1983      B",B,N/A
2445443.77,"Apr 19, 1983 6h28m",13.95,200,"C.J.Peterson, IAU Circ. No.3814, 1983      B",B,N/A
2445453.33,"Apr 28, 1983 19h55m",14.68,1582,"D.Yu.Tsvetkov, Astron.Zhur., 62, 365, 1985      B",B,N/A
2445459.4,"May 4, 1983 21h35m",15.45,202,"S.Benetti,E.Cappellaro,M.Turatto, A.A., v.247,n.2,p.410,1991      B",B,N/A
