SNID,Julian Date,Magnitude,Magerr,Band,Ref
1984A,2445706.5,13.5,N/A,pg       ,251
1984A,2445709.5,13.1,N/A,B   ,251
1984A,2445709.5,12.8,N/A,V        ,251
1984A,2445709.5,0.3,N/A,(B-V)        ,251
1984A,2445729.5,13,N/A,pg       ,252
1984A,2445736.4,13.4,N/A,V        ,253
1984A,2445740.67,13.2,N/A,V        ,253
1984A,2445742.7,13.6,N/A,V        ,253
1984A,2445744.7,13.7,N/A,V        ,253
1984A,2445754.4,15,N/A,V        ,253
1984A,2445764.4,15.3,N/A,V        ,253
1984A,2445765.4,15.3,N/A,V        ,253
1984A,2445767.4,15.2,N/A,V        ,253
1984A,2445785.4,16.2,N/A,V        ,253
1984A,2445764.6,15.35,N/A,B        ,254
1984A,2445814.4,15.8,N/A,B        ,254
1984A,2445818.4,16,N/A,B        ,254
1984A,2445818.4,16,N/A,B        ,254
1984A,2445764.5,14.25,N/A,V        ,254
1984A,2445811.4,15.7,N/A,V        ,254
1984A,2445819.4,16.05,N/A,V        ,254
1984A,2445819.4,16,N/A,V        ,254
1984A,2445764.5,1.1,N/A,(B-V)    ,254
1984A,2445819.5,0.05,N/A,(B-V)    ,254
1984A,2445712.5,12.55,N/A,B        ,255
1984A,2445712.6,12.8,N/A,B        ,255
1984A,2445713.5,12.57,N/A,B        ,255
1984A,2445715.5,12.35,N/A,B        ,255
1984A,2445716.6,12.66,N/A,B        ,255
1984A,2445718.6,12.65,N/A,B        ,255
1984A,2445725.5,12.95,N/A,B        ,255
1984A,2445728.6,13.33,N/A,B        ,255
1984A,2445730.5,13.54,N/A,B        ,255
1984A,2445732.5,13.9,N/A,B        ,255
1984A,2445732.6,13.85,N/A,B        ,255
1984A,2445733.6,13.91,N/A,B        ,255
1984A,2445734.6,14.07,N/A,B        ,255
1984A,2445743.7,14.82,N/A,B        ,255
1984A,2445744.5,14.94,N/A,B        ,255
1984A,2445745.5,14.95,N/A,B        ,255
1984A,2445752.6,15.31,N/A,B        ,255
1984A,2445755.4,15.36,N/A,B        ,255
1984A,2445755.5,15.38,N/A,B        ,255
1984A,2445756.5,15.31,N/A,B        ,255
1984A,2445758.4,15.3,N/A,B        ,255
1984A,2445771.4,15.47,N/A,B        ,255
1984A,2445774.5,15.52,N/A,B        ,255
1984A,2445780.5,15.66,N/A,B        ,255
1984A,2445789.4,15.8,N/A,B        ,255
1984A,2445790.5,15.76,N/A,B        ,255
1984A,2445795.5,15.85,N/A,B        ,255
1984A,2445798.4,15.71,N/A,B        ,255
1984A,2445800.4,15.8,N/A,B        ,255
1984A,2445811.5,16.02,N/A,B        ,255
1984A,2445815.4,16.1,N/A,B        ,255
1984A,2445816.4,15.92,N/A,B        ,255
1984A,2445821.4,16.12,N/A,B        ,255
1984A,2445828.4,16.2,N/A,B        ,255
1984A,2445835.4,16.2,N/A,B        ,255
1984A,2445703.6,14.4,N/A,V        ,255
1984A,2445704.6,14,N/A,V        ,255
1984A,2445705.7,13.8,N/A,V        ,255
1984A,2445709.6,12.4,N/A,V        ,255
1984A,2445709.6,12.5,N/A,V        ,255
1984A,2445712.4,12.1,N/A,V        ,255
1984A,2445712.5,12.4,N/A,V        ,255
1984A,2445713.5,12.51,N/A,V        ,255
1984A,2445715.5,12.35,N/A,V        ,255
1984A,2445716.6,12.4,N/A,V        ,255
1984A,2445718.6,12.2,N/A,V        ,255
1984A,2445725.5,12.4,N/A,V        ,255
1984A,2445730.5,12.91,N/A,V        ,255
1984A,2445733.6,13.08,N/A,V        ,255
1984A,2445734.6,12.98,N/A,V        ,255
1984A,2445735.6,12.98,N/A,V        ,255
1984A,2445743.7,13.5,N/A,V        ,255
1984A,2445744.5,13.6,N/A,V        ,255
1984A,2445745.5,13.65,N/A,V        ,255
1984A,2445752.6,14.08,N/A,V        ,255
1984A,2445756.5,14.42,N/A,V        ,255
1984A,2445757.4,14.48,N/A,V        ,255
1984A,2445761.5,14.41,N/A,V        ,255
1984A,2445765.4,14.58,N/A,V        ,255
1984A,2445770.4,14.76,N/A,V        ,255
1984A,2445771.4,14.66,N/A,V        ,255
1984A,2445774.5,14.6,N/A,V        ,255
1984A,2445798.4,15.28,N/A,V        ,255
1984A,2445800.4,15.32,N/A,V        ,255
1984A,2445811.5,15.51,N/A,V        ,255
1984A,2445815.4,15.6,N/A,V        ,255
1984A,2445820.4,15.75,N/A,V        ,255
1984A,2445821.4,15.73,N/A,V        ,255
1984A,2445835.4,16.08,N/A,V        ,255
1984A,2445712.5,12.2,N/A,U        ,255
1984A,2445713.5,12.32,N/A,U        ,255
1984A,2445715.5,12.36,N/A,U        ,255
1984A,2445716.5,12.2,N/A,U        ,255
1984A,2445725.5,12.9,N/A,U        ,255
1984A,2445756.5,15.8,N/A,U        ,255
1984A,2445799.4,16.25,N/A,U        ,255
1984A,2445815.4,16.5,N/A,U        ,255
1984A,2445710.56,13.05,N/A,B        ,256
1984A,2445724.46,12.95,N/A,B        ,256
1984A,2445739.42,14.35,N/A,B        ,256
1984A,2445765.49,15.3,N/A,B        ,256
1984A,2445811.37,15.9,N/A,B        ,256
1984A,2445885.38,17,N/A,B        ,256
1984A,2445710.58,12.8,N/A,V        ,256
1984A,2445724.48,12.55,N/A,V        ,256
1984A,2445739.45,13.2,N/A,V        ,256
1984A,2445766.46,14.25,N/A,V        ,256
1984A,2445782.36,14.7,N/A,V        ,256
1984A,2445811.43,15.25,N/A,V        ,256
1984A,2445812.44,15.65,N/A,V        ,256
1984A,2445876.4,16.93,N/A,V        ,256
1984A,2445710.58,0.25,N/A,(B-V)    ,256
1984A,2445724.48,0.4,N/A,(B-V)    ,256
1984A,2445739.45,1.15,N/A,(B-V)    ,256
1984A,2445811.43,0.65,N/A,(B-V)    ,256
