Julian Date	Gregorian Day	Magnitude	Indmag and Band
2445712.5	Jan 12, 1984 24h0m	12.2	U
2445713.5	Jan 13, 1984 24h0m	12.32	U
2445715.5	Jan 15, 1984 24h0m	12.36	U
2445716.6	Jan 17, 1984 2h24m	12.2	U
2445725.5	Jan 25, 1984 24h0m	12.9	U
2445756.5	Feb 25, 1984 24h0m	15.8	U
2445799.4	Apr 8, 1984 21h35m	16.25	U
2445815.4	Apr 24, 1984 21h35m	16.5	U
2445707.5	Jan 7, 1984 24h0m	13.5	B
2445710.57	Jan 11, 1984 1h40m	13.05	B
2445712.5	Jan 12, 1984 24h0m	12.55	B
2445712.6	Jan 13, 1984 2h24m	12.8	B
2445713.5	Jan 13, 1984 24h0m	12.57	B
2445715.5	Jan 15, 1984 24h0m	12.35	B
2445716.6	Jan 17, 1984 2h24m	12.66	B
2445718.6	Jan 19, 1984 2h24m	12.65	B
2445724.47	Jan 24, 1984 23h16m	12.95	B
2445725.5	Jan 25, 1984 24h0m	12.95	B
2445728.6	Jan 29, 1984 2h24m	13.33	B
2445730.5	Jan 30, 1984 24h0m	13.54	B
2445732.5	Feb 1, 1984 24h0m	13.9	B
2445732.6	Feb 2, 1984 2h24m	13.85	B
2445733.6	Feb 3, 1984 2h24m	13.91	B
2445734.6	Feb 4, 1984 2h24m	14.07	B
2445739.43	Feb 8, 1984 22h19m	14.35	B
2445743.7	Feb 13, 1984 4h48m	14.82	B
2445744.5	Feb 13, 1984 24h0m	14.94	B
2445745.5	Feb 14, 1984 24h0m	14.95	B
2445752.6	Feb 22, 1984 2h24m	15.31	B
2445755.4	Feb 24, 1984 21h35m	15.36	B
2445755.5	Feb 24, 1984 24h0m	15.38	B
2445756.5	Feb 25, 1984 24h0m	15.31	B
2445758.4	Feb 27, 1984 21h35m	15.3	B
2445764.55	Mar 5, 1984 1h11m	15.35	B
2445765.49	Mar 5, 1984 23h45m	15.3	B
2445771.4	Mar 11, 1984 21h35m	15.47	B
2445774.5	Mar 14, 1984 24h0m	15.52	B
2445780.5	Mar 20, 1984 24h0m	15.66	B
2445789.4	Mar 29, 1984 21h35m	15.8	B
2445790.5	Mar 30, 1984 24h0m	15.76	B
2445795.5	Apr 4, 1984 24h0m	15.85	B
2445798.4	Apr 7, 1984 21h35m	15.71	B
2445800.4	Apr 9, 1984 21h35m	15.8	B
2445811.4	Apr 20, 1984 21h35m	15.9	B
2445811.5	Apr 20, 1984 24h0m	16.02	B
2445814.4	Apr 23, 1984 21h35m	15.8	B
2445815.4	Apr 24, 1984 21h35m	16.1	B
2445816.4	Apr 25, 1984 21h35m	15.92	B
2445818.4	Apr 27, 1984 21h35m	16	B
2445821.4	Apr 30, 1984 21h35m	16.12	B
2445828.4	May 7, 1984 21h35m	16.2	B
2445835.4	May 14, 1984 21h35m	16.2	B
2445885.38	Jul 3, 1984 21h7m	17	B
2445703.6	Jan 4, 1984 2h24m	14.8	V
2445704.6	Jan 5, 1984 2h24m	14.4	V
2445705.7	Jan 6, 1984 4h48m	14.2	V
2445709.6	Jan 10, 1984 2h24m	12.8	V
2445709.6	Jan 10, 1984 2h24m	12.9	V
2445710.57	Jan 11, 1984 1h40m	12.8	V
2445712.4	Jan 12, 1984 21h35m	12.5	V
2445712.5	Jan 12, 1984 24h0m	12.4	V
2445713.5	Jan 13, 1984 24h0m	12.51	V
2445715.5	Jan 15, 1984 24h0m	12.35	V
2445716.6	Jan 17, 1984 2h24m	12.4	V
2445718.6	Jan 19, 1984 2h24m	12.2	V
2445724.47	Jan 24, 1984 23h16m	12.55	V
2445725.5	Jan 25, 1984 24h0m	12.4	V
2445730.5	Jan 30, 1984 24h0m	12.91	V
2445733.6	Feb 3, 1984 2h24m	13.08	V
2445734.6	Feb 4, 1984 2h24m	12.98	V
2445735.6	Feb 5, 1984 2h24m	12.98	V
2445739.43	Feb 8, 1984 22h19m	13.2	V
2445743.7	Feb 13, 1984 4h48m	13.5	V
2445744.5	Feb 13, 1984 24h0m	13.6	V
2445745.5	Feb 14, 1984 24h0m	13.65	V
2445752.6	Feb 22, 1984 2h24m	14.08	V
2445756.5	Feb 25, 1984 24h0m	14.42	V
2445757.4	Feb 26, 1984 21h35m	14.48	V
2445761.5	Mar 1, 1984 24h0m	14.41	V
2445764.55	Mar 5, 1984 1h11m	14.25	V
2445765.4	Mar 5, 1984 21h35m	14.58	V
2445766.46	Mar 6, 1984 23h2m	14.25	V
2445770.4	Mar 10, 1984 21h35m	14.76	V
2445771.4	Mar 11, 1984 21h35m	14.66	V
2445774.5	Mar 14, 1984 24h0m	14.6	V
2445782.36	Mar 22, 1984 20h38m	14.7	V
2445798.4	Apr 7, 1984 21h35m	15.28	V
2445800.4	Apr 9, 1984 21h35m	15.32	V
2445811.4	Apr 20, 1984 21h35m	15.7	V
2445811.4	Apr 20, 1984 21h35m	15.25	V
2445811.5	Apr 20, 1984 24h0m	15.51	V
2445812.44	Apr 21, 1984 22h33m	15.65	V
2445815.4	Apr 24, 1984 21h35m	15.6	V
2445819.4	Apr 28, 1984 21h35m	16.02	V
2445820.4	Apr 29, 1984 21h35m	15.75	V
2445821.4	Apr 30, 1984 21h35m	15.73	V
2445835.4	May 14, 1984 21h35m	16.08	V
2445876.4	Jun 24, 1984 21h35m	16.93	V
2445733.6	Feb 3, 1984 2h24m	12.46	R
2445744.5	Feb 13, 1984 24h0m	12.74	R
2445756.5	Feb 25, 1984 24h0m	13.4	R
2445757.4	Feb 26, 1984 21h35m	13.32	R
2445761.5	Mar 1, 1984 24h0m	13.4	R
2445799.4	Apr 8, 1984 21h35m	14.87	R
2445815.4	Apr 24, 1984 21h35m	15.33	R
