Julian Date	Gregorian Day	Magnitude	Indmag and Band Magerr
2447710.3	Jul 2, 1989 19h11m	12.8	B   0.2
2447712.3	Jul 4, 1989 19h11m	12.7	B   0.2
2447723.3	Jul 15, 1989 19h11m	13.35	B   0.35
2447740.2	Aug 1, 1989 16h48m	14.92	B   0.35
2447740.3	Aug 1, 1989 19h11m	15.18	B   0.35
2447741.3	Aug 2, 1989 19h11m	15.03	B   0.35
2447706.3	Jun 28, 1989 19h11m	13.21	V   0.35
2447712.3	Jul 4, 1989 19h11m	12.4	V   0.2
2447740.2	Aug 1, 1989 16h48m	13.42	V   0.35
2447740.3	Aug 1, 1989 19h11m	13.3	V   0.35
2447741.3	Aug 2, 1989 19h11m	13.14	V   0.35
