Julian Date,Gregorian Day,Magnitude,Band,Ref,Magerr
2447711.5,"Jul 4.0, 1989",12.5,R,IAUC4802,NaN
2447713.39,"Jul 5.89, 1989",13,B,IAUC4802,NaN
2447713.39,"Jul 5.89, 1989",13.5,V,IAUC4802,NaN
2447714.46,"Jul 6.96, 1989",12.5,V,IAUC4808,NaN
2447714.71,"Jul 7.21, 1989",12,V,IAUC4809,NaN
2447716.34,"Jul 8.84, 1989",12.5,V,IAUC4808,NaN
2447716.64,"Jul 9.14, 1989",12.2,V,IAUC4809,NaN
2447716.64,"Jul 9.14, 1989",12.2,V,IAUC4809,NaN
2447717.6,"Jul 10.10, 1989",12.1,V,IAUC4809,NaN
2447718.62,"Jul 11.12, 1989",12.5,V,IAUC4824,NaN
2447721.99,"Jul 14.49, 1989",12.5,V,IAUC4824,NaN
2447722.64,"Jul 15.14, 1989",12.3,V,IAUC4824,NaN
2447736.62,"Jul 29.12, 1989",12.8,V,IAUC4838,NaN
2447737.35,"Jul 29.85, 1989",12.9,V,IAUC4846,NaN
2447740.6,"Aug 2.10, 1989",13.2,V,IAUC4838,NaN
2447746.59,"Aug 8.09, 1989",14.1,V,IAUC4838,NaN
2447758.62,"Aug 20.12, 1989",14.6,V,IAUC4846,NaN
