Julian Date	Gregorian Day	Magnitude	Indmag and Band
2448071.5	Jun 28, 1990 24h0m	13.65	U
2448071.5	Jun 28, 1990 24h0m	13.63	U
2448071.5	Jun 28, 1990 24h0m	13.67	U
2448084.49	Jul 11, 1990 23h45m	12.44	U
2448084.49	Jul 11, 1990 23h45m	12.45	U
2448091.53	Jul 19, 1990 0h43m	13.03	U
2448091.53	Jul 19, 1990 0h43m	13.01	U
2448091.53	Jul 19, 1990 0h43m	13.02	U
2448093.51	Jul 21, 1990 0h14m	13.26	U
2448094.51	Jul 22, 1990 0h14m	13.39	U
2448095.49	Jul 22, 1990 23h45m	13.5	U
2448104.48	Jul 31, 1990 23h31m	14.71	U
2448299.87	Feb 12, 1991 8h52m	19.59	U
2448071.5	Jun 28, 1990 24h0m	13.89	B
2448071.5	Jun 28, 1990 24h0m	13.89	B
2448071.5	Jun 28, 1990 24h0m	13.89	B
2448072.47	Jun 29, 1990 23h16m	13.64	B
2448072.48	Jun 29, 1990 23h31m	13.64	B
2448075.53	Jul 3, 1990 0h43m	13.13	B
2448075.53	Jul 3, 1990 0h43m	13.13	B
2448076.56	Jul 4, 1990 1h26m	13.05	B
2448076.56	Jul 4, 1990 1h26m	13.05	B
2448084.49	Jul 11, 1990 23h45m	12.78	B
2448084.49	Jul 11, 1990 23h45m	12.79	B
2448091.53	Jul 19, 1990 0h43m	13.13	B
2448093.51	Jul 21, 1990 0h14m	13.32	B
2448094.51	Jul 22, 1990 0h14m	13.44	B
2448095.49	Jul 22, 1990 23h45m	13.5	B
2448097.51	Jul 25, 1990 0h14m	13.77	B
2448098.52	Jul 26, 1990 0h28m	13.89	B
2448104.48	Jul 31, 1990 23h31m	14.52	B
2448104.5	Jul 31, 1990 24h0m	14.52	B
2448124.47	Aug 20, 1990 23h16m	15.75	B
2448253.83	Dec 28, 1990 7h55m	17.49	B
2448272.82	Jan 16, 1991 7h40m	17.96	B
2448292.76	Feb 5, 1991 6h14m	18.05	B
2448299.87	Feb 12, 1991 8h52m	18.12	B
2448307.8	Feb 20, 1991 7h11m	18.3	B
2448322.83	Mar 7, 1991 7h55m	18.55	B
2448335.74	Mar 20, 1991 5h45m	18.84	B
2448347.7	Apr 1, 1991 4h48m	18.77	B
2448347.74	Apr 1, 1991 5h45m	18.83	B
2448353.69	Apr 7, 1991 4h33m	18.93	B
2448355.69	Apr 9, 1991 4h33m	18.86	B
2448414.61	Jun 7, 1991 2h38m	19.96	B
2448420.54	Jun 13, 1991 0h57m	19.89	B
2448459.51	Jul 22, 1991 0h14m	20.54	B
2448071.5	Jun 28, 1990 24h0m	13.83	V
2448071.5	Jun 28, 1990 24h0m	13.84	V
2448071.5	Jun 28, 1990 24h0m	13.84	V
2448072.47	Jun 29, 1990 23h16m	13.63	V
2448072.48	Jun 29, 1990 23h31m	13.62	V
2448075.53	Jul 3, 1990 0h43m	13.14	V
2448075.53	Jul 3, 1990 0h43m	13.14	V
2448076.56	Jul 4, 1990 1h26m	13.05	V
2448076.56	Jul 4, 1990 1h26m	13.05	V
2448084.49	Jul 11, 1990 23h45m	12.73	V
2448084.49	Jul 11, 1990 23h45m	12.73	V
2448091.53	Jul 19, 1990 0h43m	12.87	V
2448093.51	Jul 21, 1990 0h14m	12.97	V
2448094.51	Jul 22, 1990 0h14m	13.06	V
2448095.49	Jul 22, 1990 23h45m	13.09	V
2448097.51	Jul 25, 1990 0h14m	13.24	V
2448098.52	Jul 26, 1990 0h28m	13.26	V
2448104.48	Jul 31, 1990 23h31m	13.61	V
2448104.5	Jul 31, 1990 24h0m	13.62	V
2448124.47	Aug 20, 1990 23h16m	14.61	V
2448253.83	Dec 28, 1990 7h55m	17.54	V
2448272.82	Jan 16, 1991 7h40m	17.8	V
2448292.76	Feb 5, 1991 6h14m	17.9	V
2448299.87	Feb 12, 1991 8h52m	18.24	V
2448307.8	Feb 20, 1991 7h11m	18.29	V
2448307.8	Feb 20, 1991 7h11m	18.39	V
2448322.83	Mar 7, 1991 7h55m	18.59	V
2448334.76	Mar 19, 1991 6h14m	18.76	V
2448335.74	Mar 20, 1991 5h45m	18.77	V
2448347.7	Apr 1, 1991 4h48m	18.94	V
2448347.74	Apr 1, 1991 5h45m	18.9	V
2448353.69	Apr 7, 1991 4h33m	18.98	V
2448355.69	Apr 9, 1991 4h33m	19.05	V
2448414.61	Jun 7, 1991 2h38m	20.11	V
2448420.54	Jun 13, 1991 0h57m	19.93	V
2448459.51	Jul 22, 1991 0h14m	20.9	V
2448687.82	Mar 6, 1992 7h40m	23.2	V
2448071.5	Jun 28, 1990 24h0m	13.72	R
2448071.5	Jun 28, 1990 24h0m	13.74	R
2448071.5	Jun 28, 1990 24h0m	13.74	R
2448072.47	Jun 29, 1990 23h16m	13.53	R
2448072.48	Jun 29, 1990 23h31m	13.53	R
2448075.53	Jul 3, 1990 0h43m	13.05	R
2448075.53	Jul 3, 1990 0h43m	13.05	R
2448076.56	Jul 4, 1990 1h26m	12.98	R
2448076.56	Jul 4, 1990 1h26m	12.97	R
2448084.49	Jul 11, 1990 23h45m	12.73	R
2448084.49	Jul 11, 1990 23h45m	12.73	R
2448091.53	Jul 19, 1990 0h43m	12.91	R
2448093.51	Jul 21, 1990 0h14m	13.08	R
2448093.51	Jul 21, 1990 0h14m	13.07	R
2448094.51	Jul 22, 1990 0h14m	13.2	R
2448095.49	Jul 22, 1990 23h45m	13.21	R
2448097.51	Jul 25, 1990 0h14m	13.33	R
2448098.52	Jul 26, 1990 0h28m	13.34	R
2448104.48	Jul 31, 1990 23h31m	13.46	R
2448104.5	Jul 31, 1990 24h0m	13.47	R
2448124.47	Aug 20, 1990 23h16m	14.25	R
2448124.47	Aug 20, 1990 23h16m	14.27	R
2448253.83	Dec 28, 1990 7h55m	18.15	R
2448272.82	Jan 16, 1991 7h40m	18.32	R
2448292.76	Feb 5, 1991 6h14m	18.46	R
2448299.87	Feb 12, 1991 8h52m	18.75	R
2448299.87	Feb 12, 1991 8h52m	18.77	R
2448307.8	Feb 20, 1991 7h11m	18.92	R
2448307.8	Feb 20, 1991 7h11m	18.99	R
2448322.83	Mar 7, 1991 7h55m	19.16	R
2448335.74	Mar 20, 1991 5h45m	19.53	R
2448347.7	Apr 1, 1991 4h48m	19.55	R
2448347.74	Apr 1, 1991 5h45m	19.64	R
2448353.69	Apr 7, 1991 4h33m	19.76	R
2448355.69	Apr 9, 1991 4h33m	19.71	R
2448414.61	Jun 7, 1991 2h38m	20.85	R
2448420.54	Jun 13, 1991 0h57m	20.53	R
2448071.5	Jun 28, 1990 24h0m	13.82	I
2448071.5	Jun 28, 1990 24h0m	13.81	I
2448071.5	Jun 28, 1990 24h0m	13.82	I
2448076.56	Jul 4, 1990 1h26m	13.07	I
2448076.56	Jul 4, 1990 1h26m	13.06	I
2448084.49	Jul 11, 1990 23h45m	13.03	I
2448084.49	Jul 11, 1990 23h45m	13.03	I
2448091.53	Jul 19, 1990 0h43m	13.29	I
2448093.51	Jul 21, 1990 0h14m	13.38	I
2448094.51	Jul 22, 1990 0h14m	13.48	I
2448095.49	Jul 22, 1990 23h45m	13.46	I
2448097.51	Jul 25, 1990 0h14m	13.55	I
2448098.52	Jul 26, 1990 0h28m	13.53	I
2448104.48	Jul 31, 1990 23h31m	13.43	I
2448104.5	Jul 31, 1990 24h0m	13.42	I
2448124.47	Aug 20, 1990 23h16m	14.01	I
2448253.83	Dec 28, 1990 7h55m	18.05	I
2448272.82	Jan 16, 1991 7h40m	18.23	I
2448292.76	Feb 5, 1991 6h14m	18.79	I
2448299.87	Feb 12, 1991 8h52m	18.68	I
2448299.87	Feb 12, 1991 8h52m	18.61	I
2448307.8	Feb 20, 1991 7h11m	18.78	I
2448307.8	Feb 20, 1991 7h11m	18.82	I
2448322.83	Mar 7, 1991 7h55m	18.96	I
2448334.76	Mar 19, 1991 6h14m	19.19	I
2448335.74	Mar 20, 1991 5h45m	18.95	I
2448347.7	Apr 1, 1991 4h48m	19.38	I
2448347.74	Apr 1, 1991 5h45m	19.32	I
2448353.69	Apr 7, 1991 4h33m	19.29	I
2448355.69	Apr 9, 1991 4h33m	19.24	I
2448414.61	Jun 7, 1991 2h38m	20.11	I
2448414.61	Jun 7, 1991 2h38m	20.05	I
