Julian Date	Gregorian Day	Magnitude	Indmag and Band
2448362.85	Apr 16, 1991 8h24m	12.4	U
2448362.85	Apr 16, 1991 8h24m	12.26	U
2448363.8	Apr 17, 1991 7h11m	12.04	U
2448364.46	Apr 17, 1991 23h2m	11.8	U
2448365.66	Apr 19, 1991 3h50m	11.61	U
2448366.57	Apr 20, 1991 1h40m	11.09	U
2448367.76	Apr 21, 1991 6h14m	11.09	U
2448368.02	Apr 21, 1991 12h28m	11.14	U
2448374.64	Apr 28, 1991 3h21m	11.28	U
2448374.64	Apr 28, 1991 3h21m	11.3	U
2448375.01	Apr 28, 1991 12h14m	11.15	U
2448375.65	Apr 29, 1991 3h35m	11.37	U
2448375.65	Apr 29, 1991 3h35m	11.27	U
2448376.69	Apr 30, 1991 4h33m	11.23	U
2448376.69	Apr 30, 1991 4h33m	11.28	U
2448377.62	May 1, 1991 2h52m	11.33	U
2448382.77	May 6, 1991 6h28m	11.78	U
2448383.58	May 7, 1991 1h55m	11.65	U
2448384.45	May 7, 1991 22h48m	11.83	U
2448388.48	May 11, 1991 23h31m	12.31	U
2448388.57	May 12, 1991 1h40m	12.38	U
2448389.39	May 12, 1991 21h21m	12.44	U
2448390.5	May 13, 1991 24h0m	12.75	U
2448390.5	May 13, 1991 24h0m	12.78	U
2448392.42	May 15, 1991 22h4m	12.85	U
2448393.62	May 17, 1991 2h52m	13.22	U
2448394.49	May 17, 1991 23h45m	13.18	U
2448398.39	May 21, 1991 21h21m	13.66	U
2448398.46	May 21, 1991 23h2m	13.65	U
2448399.42	May 22, 1991 22h4m	14.04	U
2448414.62	Jun 7, 1991 2h52m	14.61	U
2448420.47	Jun 12, 1991 23h16m	14.86	U
2448431.49	Jun 23, 1991 23h45m	15.07	U
2448431.49	Jun 23, 1991 23h45m	15.03	U
2448442.48	Jul 4, 1991 23h31m	15.27	U
2448776.53	Jun 3, 1992 0h43m	20.35	U
2448361.4	Apr 14, 1991 21h35m	13.4	B
2448362.85	Apr 16, 1991 8h24m	13	    B
2448362.85	Apr 16, 1991 8h24m	12.98	B
2448363.65	Apr 17, 1991 3h35m	12.73	B
2448363.77	Apr 17, 1991 6h28m	12.71	B
2448363.8	Apr 17, 1991 7h11m	12.8	B
2448364.4	Apr 17, 1991 21h35m	12.62	B
2448364.46	Apr 17, 1991 23h2m	12.51	B
2448364.64	Apr 18, 1991 3h21m	12.46	B
2448364.76	Apr 18, 1991 6h14m	12.45	B
2448365.66	Apr 19, 1991 3h50m	12.36	B
2448366.57	Apr 20, 1991 1h40m	11.75	B
2448366.67	Apr 20, 1991 4h4m	12.15	B
2448366.67	Apr 20, 1991 4h4m	12.06	B
2448367.76	Apr 21, 1991 6h14m	11.76	B
2448368.02	Apr 21, 1991 12h28m	11.94	B
2448368.7	Apr 22, 1991 4h48m	11.78	B
2448372.7	Apr 26, 1991 4h48m	11.75	B
2448374.64	Apr 28, 1991 3h21m	11.72	B
2448374.64	Apr 28, 1991 3h21m	11.71	B
2448375.01	Apr 28, 1991 12h14m	11.66	B
2448375.65	Apr 29, 1991 3h35m	11.72	B
2448375.65	Apr 29, 1991 3h35m	11.72	B
2448376.69	Apr 30, 1991 4h33m	11.74	B
2448376.69	Apr 30, 1991 4h33m	11.7	B
2448377.62	May 1, 1991 2h52m	11.69	B
2448377.62	May 1, 1991 2h52m	11.71	B
2448380.7	May 4, 1991 4h48m	11.83	B
2448381.6	May 5, 1991 2h24m	11.84	B
2448381.6	May 5, 1991 2h24m	11.86	B
2448382.67	May 6, 1991 4h4m	11.91	B
2448382.68	May 6, 1991 4h19m	11.92	B
2448382.77	May 6, 1991 6h28m	11.99	B
2448383.58	May 7, 1991 1h55m	11.96	B
2448383.58	May 7, 1991 1h55m	11.97	B
2448384.45	May 7, 1991 22h48m	12.02	B
2448385.63	May 9, 1991 3h7m	12.14	B
2448386.55	May 10, 1991 1h11m	12.25	B
2448386.55	May 10, 1991 1h11m	12.21	B
2448388.48	May 11, 1991 23h31m	12.35	B
2448388.57	May 12, 1991 1h40m	12.41	B
2448389.3	May 12, 1991 19h11m	12.88	B
2448389.39	May 12, 1991 21h21m	12.46	B
2448390.5	May 13, 1991 24h0m	12.6	B
2448390.5	May 13, 1991 24h0m	12.6	B
2448392.42	May 15, 1991 22h4m	12.72	B
2448393.62	May 17, 1991 2h52m	12.97	B
2448394.49	May 17, 1991 23h45m	13.02	B
2448395.55	May 19, 1991 1h11m	13.13	B
2448395.56	May 19, 1991 1h26m	13.15	B
2448396.56	May 20, 1991 1h26m	13.48	B
2448396.56	May 20, 1991 1h26m	13.39	B
2448398.39	May 21, 1991 21h21m	13.45	B
2448398.46	May 21, 1991 23h2m	13.47	B
2448399.42	May 22, 1991 22h4m	13.71	B
2448405.59	May 29, 1991 2h9m	14.07	B
2448405.59	May 29, 1991 2h9m	14.07	B
2448414.62	Jun 7, 1991 2h52m	14.3	B
2448414.62	Jun 7, 1991 2h52m	14.31	B
2448420.47	Jun 12, 1991 23h16m	14.56	B
2448423.2	Jun 15, 1991 16h48m	14.37	B
2448427.67	Jun 20, 1991 4h4m	14.77	B
2448431.49	Jun 23, 1991 23h45m	14.77	B
2448431.49	Jun 23, 1991 23h45m	14.75	B
2448438.5	Jun 30, 1991 24h0m	14.86	B
2448439.47	Jul 1, 1991 23h16m	14.92	B
2448439.47	Jul 1, 1991 23h16m	14.93	B
2448439.83	Jul 2, 1991 7h55m	14.91	B
2448440.46	Jul 2, 1991 23h2m	14.92	B
2448440.46	Jul 2, 1991 23h2m	14.9	B
2448440.87	Jul 3, 1991 8h52m	14.92	B
2448442.48	Jul 4, 1991 23h31m	14.89	B
2448445.47	Jul 7, 1991 23h16m	14.93	B
2448459.49	Jul 21, 1991 23h45m	15.12	B
2448469.51	Aug 1, 1991 0h14m	15.42	B
2448575.7	Nov 15, 1991 4h48m	17.05	B
2448593.46	Dec 2, 1991 23h2m	16.95	B
2448593.46	Dec 2, 1991 23h2m	16.98	B
2448594.46	Dec 3, 1991 23h2m	17.06	B
2448597.8	Dec 7, 1991 7h11m	17.2	B
2448603.46	Dec 12, 1991 23h2m	17.04	B
2448628.83	Jan 7, 1992 7h55m	17.5	B
2448629.83	Jan 8, 1992 7h55m	17.51	B
2448653.9	Feb 1, 1992 9h35m	17.66	B
2448657.82	Feb 5, 1992 7h40m	17.74	B
2448658.66	Feb 6, 1992 3h50m	17.75	B
2448681.78	Feb 29, 1992 6h43m	18.02	B
2448686.46	Mar 4, 1992 23h2m	18.25	B
2448688.46	Mar 6, 1992 23h2m	18.25	B
2448691.78	Mar 10, 1992 6h43m	18.45	B
2448692.67	Mar 11, 1992 4h4m	18.42	B
2448720.77	Apr 8, 1992 6h28m	18.83	B
2448731.63	Apr 19, 1992 3h7m	18.92	B
2448742.8	Apr 30, 1992 7h11m	19	    B
2448746.69	May 4, 1992 4h33m	18.99	B
2448776.53	Jun 3, 1992 0h43m	19.65	B
2448776.54	Jun 3, 1992 0h57m	19.77	B
2448776.8	Jun 3, 1992 7h11m	19.43	B
2448829.67	Jul 26, 1992 4h4m	19.97	B
2448979.67	Dec 23, 1992 4h4m	21.04	B
2449010.67	Jan 23, 1993 4h4m	21.02	B
2449013.8	Jan 26, 1993 7h11m	21.02	B
2449045.79	Feb 27, 1993 6h57m	21.08	B
2449046.79	Feb 28, 1993 6h57m	21.21	B
2449061.67	Mar 15, 1993 4h4m	21.03	B
2449067.9	Mar 21, 1993 9h35m	21.2	B
2449103.6	Apr 26, 1993 2h24m	21.06	B
2449104.6	Apr 27, 1993 2h24m	21.06	B
2449132.8	May 25, 1993 7h11m	21.28	B
2449332.8	Dec 11, 1993 7h11m	21.3	B
2449428.78	Mar 17, 1994 6h43m	21.43	B
2449482.62	May 10, 1994 2h52m	21.13	B
2449487.65	May 15, 1994 3h35m	21.3	B
2450159.7	Mar 17, 1996 4h48m	21.49	B
2448362.85	Apr 16, 1991 8h24m	12.84	V
2448362.85	Apr 16, 1991 8h24m	12.9	V
2448363.65	Apr 17, 1991 3h35m	12.61	V
2448363.77	Apr 17, 1991 6h28m	12.62	V
2448363.8	Apr 17, 1991 7h11m	12.74	V
2448364.46	Apr 17, 1991 23h2m	12.4	V
2448364.64	Apr 18, 1991 3h21m	12.34	V
2448364.76	Apr 18, 1991 6h14m	12.36	V
2448365.66	Apr 19, 1991 3h50m	12.26	V
2448366.57	Apr 20, 1991 1h40m	11.69	V
2448366.66	Apr 20, 1991 3h50m	11.94	V
2448366.67	Apr 20, 1991 4h4m	12	    V
2448366.67	Apr 20, 1991 4h4m	12.06	V
2448367.65	Apr 21, 1991 3h35m	11.89	V
2448367.76	Apr 21, 1991 6h14m	11.7	V
2448368.02	Apr 21, 1991 12h28m	11.84	V
2448368.7	Apr 22, 1991 4h48m	11.8	V
2448370.62	Apr 24, 1991 2h52m	11.65	V
2448374.64	Apr 28, 1991 3h21m	11.56	V
2448374.64	Apr 28, 1991 3h21m	11.57	V
2448375.01	Apr 28, 1991 12h14m	11.52	V
2448375.65	Apr 29, 1991 3h35m	11.57	V
2448375.65	Apr 29, 1991 3h35m	11.54	V
2448375.72	Apr 29, 1991 5h16m	11.44	V
2448376.69	Apr 30, 1991 4h33m	11.54	V
2448376.69	Apr 30, 1991 4h33m	11.53	V
2448377.62	May 1, 1991 2h52m	11.51	V
2448377.62	May 1, 1991 2h52m	11.48	V
2448380.69	May 4, 1991 4h33m	11.53	V
2448380.7	May 4, 1991 4h48m	11.53	V
2448381.6	May 5, 1991 2h24m	11.54	V
2448381.65	May 5, 1991 3h35m	11.49	V
2448382.63	May 6, 1991 3h7m	11.49	V
2448382.67	May 6, 1991 4h4m	11.58	V
2448382.68	May 6, 1991 4h19m	11.58	V
2448382.77	May 6, 1991 6h28m	11.61	V
2448383.58	May 7, 1991 1h55m	11.58	V
2448383.58	May 7, 1991 1h55m	11.61	V
2448384.45	May 7, 1991 22h48m	11.65	V
2448385.63	May 9, 1991 3h7m	11.64	V
2448386.55	May 10, 1991 1h11m	11.76	V
2448388.48	May 11, 1991 23h31m	11.83	V
2448388.57	May 12, 1991 1h40m	11.87	V
2448389.39	May 12, 1991 21h21m	11.93	V
2448390.5	May 13, 1991 24h0m	11.97	V
2448390.5	May 13, 1991 24h0m	11.97	V
2448392.42	May 15, 1991 22h4m	12.08	V
2448393.62	May 17, 1991 2h52m	12.15	V
2448393.67	May 17, 1991 4h4m	12.05	V
2448394.49	May 17, 1991 23h45m	12.18	V
2448395.55	May 19, 1991 1h11m	12.22	V
2448395.56	May 19, 1991 1h26m	12.25	V
2448396.56	May 20, 1991 1h26m	12.32	V
2448396.56	May 20, 1991 1h26m	12.45	V
2448396.56	May 20, 1991 1h26m	12.29	V
2448397.65	May 21, 1991 3h35m	12.34	V
2448398.39	May 21, 1991 21h21m	12.4	V
2448398.46	May 21, 1991 23h2m	12.42	V
2448399.42	May 22, 1991 22h4m	12.59	V
2448405.59	May 29, 1991 2h9m	12.74	V
2448405.59	May 29, 1991 2h9m	12.73	V
2448414.62	Jun 7, 1991 2h52m	13.12	V
2448414.63	Jun 7, 1991 3h7m	13.11	V
2448420.47	Jun 12, 1991 23h16m	13.42	V
2448421.63	Jun 14, 1991 3h7m	13.43	V
2448427.67	Jun 20, 1991 4h4m	13.59	V
2448427.67	Jun 20, 1991 4h4m	13.66	V
2448427.67	Jun 20, 1991 4h4m	13.6	V
2448429.63	Jun 22, 1991 3h7m	13.62	V
2448431.49	Jun 23, 1991 23h45m	13.74	V
2448431.49	Jun 23, 1991 23h45m	13.75	V
2448438.5	Jun 30, 1991 24h0m	13.94	V
2448439.47	Jul 1, 1991 23h16m	14.02	V
2448439.47	Jul 1, 1991 23h16m	13.99	V
2448439.63	Jul 2, 1991 3h7m	13.93	V
2448439.83	Jul 2, 1991 7h55m	14.03	V
2448440.46	Jul 2, 1991 23h2m	14.06	V
2448440.46	Jul 2, 1991 23h2m	14.06	V
2448440.87	Jul 3, 1991 8h52m	14	    V
2448442.48	Jul 4, 1991 23h31m	14.05	V
2448445.46	Jul 7, 1991 23h2m	14.14	V
2448445.47	Jul 7, 1991 23h16m	14.14	V
2448454.58	Jul 17, 1991 1h55m	14.26	V
2448459.49	Jul 21, 1991 23h45m	14.48	V
2448480.49	Aug 11, 1991 23h45m	15.29	V
2448593.46	Dec 2, 1991 23h2m	17.01	V
2448593.46	Dec 2, 1991 23h2m	17.01	V
2448594.46	Dec 3, 1991 23h2m	17.1	V
2448597.8	Dec 7, 1991 7h11m	17.13	V
2448603.46	Dec 12, 1991 23h2m	17.07	V
2448628.83	Jan 7, 1992 7h55m	17.48	V
2448629.83	Jan 8, 1992 7h55m	17.48	V
2448653.9	Feb 1, 1992 9h35m	17.95	V
2448657.6	Feb 5, 1992 2h24m	17.88	V
2448657.82	Feb 5, 1992 7h40m	17.96	V
2448658.66	Feb 6, 1992 3h50m	17.94	V
2448677.78	Feb 25, 1992 6h43m	18.12	V
2448681.78	Feb 29, 1992 6h43m	18.34	V
2448686.46	Mar 4, 1992 23h2m	18.27	V
2448687.85	Mar 6, 1992 8h24m	18.34	V
2448688.46	Mar 6, 1992 23h2m	18.35	V
2448688.8	Mar 7, 1992 7h11m	18.35	V
2448691.78	Mar 10, 1992 6h43m	18.36	V
2448692.67	Mar 11, 1992 4h4m	18.42	V
2448720.77	Apr 8, 1992 6h28m	18.77	V
2448731.62	Apr 19, 1992 2h52m	19.01	V
2448731.63	Apr 19, 1992 3h7m	18.95	V
2448742.8	Apr 30, 1992 7h11m	19.05	V
2448746.69	May 4, 1992 4h33m	19.12	V
2448776.53	Jun 3, 1992 0h43m	19.66	V
2448776.54	Jun 3, 1992 0h57m	19.68	V
2448776.8	Jun 3, 1992 7h11m	19.49	V
2448829.67	Jul 26, 1992 4h4m	20.27	V
2448979.67	Dec 23, 1992 4h4m	20.95	V
2449010.67	Jan 23, 1993 4h4m	21	    V
2449013.8	Jan 26, 1993 7h11m	21.01	V
2449035.67	Feb 17, 1993 4h4m	20.97	V
2449045.79	Feb 27, 1993 6h57m	20.99	V
2449046.79	Feb 28, 1993 6h57m	21.02	V
2449061.67	Mar 15, 1993 4h4m	21.08	V
2449104.6	Apr 27, 1993 2h24m	21.21	V
2449428.78	Mar 17, 1994 6h43m	21.45	V
2450159.7	Mar 17, 1996 4h48m	21.48	V
2448362.85	Apr 16, 1991 8h24m	12.67	R
2448362.85	Apr 16, 1991 8h24m	12.8	R
2448363.77	Apr 17, 1991 6h28m	12.53	R
2448364.64	Apr 18, 1991 3h21m	12.32	R
2448364.76	Apr 18, 1991 6h14m	12.3	R
2448365.65	Apr 19, 1991 3h35m	12.16	R
2448365.66	Apr 19, 1991 3h50m	12.13	R
2448366.66	Apr 20, 1991 3h50m	12.08	R
2448366.67	Apr 20, 1991 4h4m	11.97	R
2448366.67	Apr 20, 1991 4h4m	11.97	R
2448368.02	Apr 21, 1991 12h28m	11.76	R
2448368.7	Apr 22, 1991 4h48m	11.7	R
2448370.62	Apr 24, 1991 2h52m	11.54	R
2448372.7	Apr 26, 1991 4h48m	11.53	R
2448374.64	Apr 28, 1991 3h21m	11.51	R
2448374.64	Apr 28, 1991 3h21m	11.52	R
2448375.01	Apr 28, 1991 12h14m	11.41	R
2448375.65	Apr 29, 1991 3h35m	11.51	R
2448375.65	Apr 29, 1991 3h35m	11.53	R
2448375.72	Apr 29, 1991 5h16m	11.39	R
2448376.69	Apr 30, 1991 4h33m	11.48	R
2448376.69	Apr 30, 1991 4h33m	11.47	R
2448377.62	May 1, 1991 2h52m	11.44	R
2448377.62	May 1, 1991 2h52m	11.44	R
2448380.69	May 4, 1991 4h33m	11.48	R
2448380.7	May 4, 1991 4h48m	11.47	R
2448381.6	May 5, 1991 2h24m	11.5	R
2448381.6	May 5, 1991 2h24m	11.52	R
2448381.65	May 5, 1991 3h35m	11.44	R
2448382.63	May 6, 1991 3h7m	11.54	R
2448382.67	May 6, 1991 4h4m	11.57	R
2448382.68	May 6, 1991 4h19m	11.55	R
2448383.58	May 7, 1991 1h55m	11.59	R
2448383.58	May 7, 1991 1h55m	11.59	R
2448385.62	May 9, 1991 2h52m	11.73	R
2448385.63	May 9, 1991 3h7m	11.73	R
2448386.55	May 10, 1991 1h11m	11.81	R
2448388.57	May 12, 1991 1h40m	11.92	R
2448390.5	May 13, 1991 24h0m	11.98	R
2448390.5	May 13, 1991 24h0m	11.98	R
2448393.62	May 17, 1991 2h52m	12.03	R
2448393.67	May 17, 1991 4h4m	12.02	R
2448396.56	May 20, 1991 1h26m	12.32	R
2448397.65	May 21, 1991 3h35m	12.08	R
2448405.59	May 29, 1991 2h9m	12.38	R
2448405.59	May 29, 1991 2h9m	12.38	R
2448414.62	Jun 7, 1991 2h52m	12.82	R
2448414.63	Jun 7, 1991 3h7m	12.79	R
2448420.47	Jun 12, 1991 23h16m	13.1	R
2448421.63	Jun 14, 1991 3h7m	13.11	R
