Julian Date	Gregorian Day	Magnitude	Indmag and Band
2448604	Dec 13, 1991 12h0m	14.76	B
2448605	Dec 14, 1991 12h0m	14.81	B
2448605.85	Dec 15, 1991 8h24m	14.87	B
2448606	Dec 15, 1991 12h0m	14.86	B
2448607	Dec 16, 1991 12h0m	14.96	B
2448607.85	Dec 17, 1991 8h24m	15.03	B
2448608.84	Dec 18, 1991 8h9m	15.22	B
2448609.84	Dec 19, 1991 8h9m	15.34	B
2448610.83	Dec 20, 1991 7h55m	15.59	B
2448617.84	Dec 27, 1991 8h9m	16.44	B
2448617.86	Dec 27, 1991 8h38m	16.62	B
2448620.86	Dec 30, 1991 8h38m	16.78	B
2448622.84	Jan 1, 1992 8h9m	16.82	B
2448623.84	Jan 2, 1992 8h9m	16.81	B
2448623.85	Jan 2, 1992 8h24m	16.88	B
2448624.84	Jan 3, 1992 8h9m	16.99	B
2448625.84	Jan 4, 1992 8h9m	16.94	B
2448626.84	Jan 5, 1992 8h9m	17.1	B
2448626.85	Jan 5, 1992 8h24m	17.07	B
2448627.84	Jan 6, 1992 8h9m	17.05	B
2448628.84	Jan 7, 1992 8h9m	17.04	B
2448628.84	Jan 7, 1992 8h9m	17.07	B
2448628.85	Jan 7, 1992 8h24m	17	B
2448631.85	Jan 10, 1992 8h24m	17.17	B
2448632.85	Jan 11, 1992 8h24m	17.2	B
2448636.67	Jan 15, 1992 4h4m	17.4	B
2448637.67	Jan 16, 1992 4h4m	17.38	B
2448638.7	Jan 17, 1992 4h48m	17.34	B
2448639.6	Jan 18, 1992 2h24m	17.47	B
2448641.84	Jan 20, 1992 8h9m	17.38	B
2448656.82	Feb 4, 1992 7h40m	17.73	B
2448656.86	Feb 4, 1992 8h38m	17.75	B
2448657.61	Feb 5, 1992 2h38m	17.75	B
2448657.81	Feb 5, 1992 7h26m	17.85	B
2448657.88	Feb 5, 1992 9h7m	17.81	B
2448658.53	Feb 6, 1992 0h43m	17.9	B
2448658.79	Feb 6, 1992 6h57m	17.82	B
2448660.83	Feb 8, 1992 7h55m	17.87	B
2448662.83	Feb 10, 1992 7h55m	17.88	B
