Julian Date	Gregorian Day	Magnitude	Indmag and Band
2448718.67	Apr 6, 1992 4h4m	16.14	B
2448719.7	Apr 7, 1992 4h48m	16.13	B
2448720.72	Apr 8, 1992 5h16m	16.18	B
2448721.66	Apr 9, 1992 3h50m	16.18	B
2448726.52	Apr 14, 1992 0h28m	16.46	B
2448728.68	Apr 16, 1992 4h19m	16.49	B
2448731.73	Apr 19, 1992 5h31m	16.85	B
2448762.51	May 20, 1992 0h14m	19.32	B
2448767.56	May 25, 1992 1h26m	19.39	B
2448767.56	May 25, 1992 1h26m	19.87	B
2448776.56	Jun 3, 1992 1h26m	19.54	B
2448793.5	Jun 19, 1992 24h0m	19.85	B
2448718.67	Apr 6, 1992 4h4m	16.14	V
2448719.7	Apr 7, 1992 4h48m	16.15	V
2448720.72	Apr 8, 1992 5h16m	16.15	V
2448721.66	Apr 9, 1992 3h50m	16.17	V
2448726.52	Apr 14, 1992 0h28m	16.32	V
2448728.68	Apr 16, 1992 4h19m	16.39	V
2448731.73	Apr 19, 1992 5h31m	16.59	V
2448762.51	May 20, 1992 0h14m	18.25	V
2448767.56	May 25, 1992 1h26m	18.32	V
2448767.56	May 25, 1992 1h26m	18.34	V
2448776.56	Jun 3, 1992 1h26m	18.63	V
2448793.5	Jun 19, 1992 24h0m	19.08	V
2448720.72	Apr 8, 1992 5h16m	16.49	I
2448728.68	Apr 16, 1992 4h19m	16.8	I
2448731.73	Apr 19, 1992 5h31m	17.16	I
2448767.56	May 25, 1992 1h26m	17.64	I
