Julian Date	Gregorian Day	Magnitude	Indmag and Band
2449421.66	Mar 10, 1994 3h50m	13.42	U
2449421.66	Mar 10, 1994 3h50m	13.4	U
2449421.7	Mar 10, 1994 4h48m	13.22	U
2449422.67	Mar 11, 1994 4h4m	12.8	U
2449422.68	Mar 11, 1994 4h19m	12.8	U
2449422.7	Mar 11, 1994 4h48m	12.89	U
2449423.64	Mar 12, 1994 3h21m	12.47	U
2449423.8	Mar 12, 1994 7h11m	12.44	U
2449423.9	Mar 12, 1994 9h35m	11.92	U
2449424.7	Mar 13, 1994 4h48m	12.11	U
2449424.89	Mar 13, 1994 9h21m	11.76	U
2449425.7	Mar 14, 1994 4h48m	11.84	U
2449426.61	Mar 15, 1994 2h38m	11.69	U
2449426.7	Mar 15, 1994 4h48m	11.64	U
2449426.9	Mar 15, 1994 9h35m	11.64	U
2449427.65	Mar 16, 1994 3h35m	11.54	U
2449427.7	Mar 16, 1994 4h48m	11.5	U
2449428.62	Mar 17, 1994 2h52m	11.45	U
2449428.7	Mar 17, 1994 4h48m	11.41	U
2449429.7	Mar 18, 1994 4h48m	11.31	U
2449430.7	Mar 19, 1994 4h48m	11.3	U
2449430.89	Mar 19, 1994 9h21m	10.96	U
2449431.7	Mar 20, 1994 4h48m	11.33	U
2449431.85	Mar 20, 1994 8h24m	10.99	U
2449433.7	Mar 22, 1994 4h48m	11.4	U
2449433.9	Mar 22, 1994 9h35m	11.2	U
2449434.7	Mar 23, 1994 4h48m	11.42	U
2449435.7	Mar 24, 1994 4h48m	11.52	U
2449437.97	Mar 26, 1994 11h16m	11.83	U
2449439.92	Mar 28, 1994 10h4m	11.88	U
2449440.7	Mar 29, 1994 4h48m	12.12	U
2449441.7	Mar 30, 1994 4h48m	12.24	U
2449442.84	Mar 31, 1994 8h9m	12.34	U
2449443.84	Apr 1, 1994 8h9m	12.41	U
2449444.7	Apr 2, 1994 4h48m	12.75	U
2449444.83	Apr 2, 1994 7h55m	12.57	U
2449445.7	Apr 3, 1994 4h48m	12.94	U
2449446.7	Apr 4, 1994 4h48m	13.1	U
2449446.81	Apr 4, 1994 7h26m	13.17	U
2449447.95	Apr 5, 1994 10h48m	13.29	U
2449449.77	Apr 7, 1994 6h28m	13.51	U
2449454.76	Apr 12, 1994 6h14m	14.47	U
2449455.7	Apr 13, 1994 4h48m	14.48	U
2449457.7	Apr 15, 1994 4h48m	14.63	U
2449464.76	Apr 22, 1994 6h14m	14.72	U
2449469.4	Apr 26, 1994 21h35m	15.34	U
2449469.85	Apr 27, 1994 8h24m	14.9	U
2449470.88	Apr 28, 1994 9h7m	14.57	U
2449478.7	May 6, 1994 4h48m	15.43	U
2449499.48	May 26, 1994 23h31m	15.89	U
2449516.51	Jun 13, 1994 0h14m	16.25	U
2449420.9	Mar 9, 1994 9h35m	14.23	B
2449421.66	Mar 10, 1994 3h50m	13.7	B
2449421.66	Mar 10, 1994 3h50m	13.64	B
2449421.7	Mar 10, 1994 4h48m	13.62	B
2449422.58	Mar 11, 1994 1h55m	13.43	B
2449422.67	Mar 11, 1994 4h4m	13.3	B
2449422.68	Mar 11, 1994 4h19m	13.23	B
2449422.7	Mar 11, 1994 4h48m	13.26	B
2449422.83	Mar 11, 1994 7h55m	13.29	B
2449423.64	Mar 12, 1994 3h21m	12.94	B
2449423.8	Mar 12, 1994 7h11m	12.91	B
2449423.89	Mar 12, 1994 9h21m	12.86	B
2449423.9	Mar 12, 1994 9h35m	12.89	B
2449424.55	Mar 13, 1994 1h11m	12.71	B
2449424.7	Mar 13, 1994 4h48m	12.67	B
2449424.89	Mar 13, 1994 9h21m	12.61	B
2449424.89	Mar 13, 1994 9h21m	12.53	B
2449425.54	Mar 14, 1994 0h57m	12.49	B
2449425.7	Mar 14, 1994 4h48m	12.41	B
2449425.91	Mar 14, 1994 9h50m	12.37	B
2449426.61	Mar 15, 1994 2h38m	12.27	B
2449426.7	Mar 15, 1994 4h48m	12.26	B
2449426.9	Mar 15, 1994 9h35m	12.26	B
2449426.9	Mar 15, 1994 9h35m	12.28	B
2449427.65	Mar 16, 1994 3h35m	12.13	B
2449427.7	Mar 16, 1994 4h48m	12.1	B
2449427.87	Mar 16, 1994 8h52m	12.09	B
2449428.62	Mar 17, 1994 2h52m	12.03	B
2449428.7	Mar 17, 1994 4h48m	11.99	B
2449428.9	Mar 17, 1994 9h35m	12	B
2449429.7	Mar 18, 1994 4h48m	11.89	B
2449429.77	Mar 18, 1994 6h28m	11.97	B
2449430.5	Mar 18, 1994 24h0m	12.04	B
2449430.65	Mar 19, 1994 3h35m	11.98	B
2449430.7	Mar 19, 1994 4h48m	11.86	B
2449430.89	Mar 19, 1994 9h21m	11.91	B
2449431.5	Mar 19, 1994 24h0m	11.98	B
2449431.5	Mar 19, 1994 24h0m	11.85	B
2449431.7	Mar 20, 1994 4h48m	11.84	B
2449431.85	Mar 20, 1994 8h24m	11.88	B
2449432.5	Mar 20, 1994 24h0m	11.87	B
2449432.98	Mar 21, 1994 11h31m	11.94	B
2449433.47	Mar 21, 1994 23h16m	11.87	B
2449433.7	Mar 22, 1994 4h48m	11.84	B
2449433.75	Mar 22, 1994 6h0m	11.89	B
2449433.9	Mar 22, 1994 9h35m	11.92	B
2449434.7	Mar 23, 1994 4h48m	11.89	B
2449434.75	Mar 23, 1994 6h0m	11.93	B
2449435.7	Mar 24, 1994 4h48m	11.91	B
2449435.78	Mar 24, 1994 6h43m	11.98	B
2449436.7	Mar 25, 1994 4h48m	11.99	B
2449437.7	Mar 26, 1994 4h48m	12.02	B
2449437.97	Mar 26, 1994 11h16m	12.13	B
2449438.7	Mar 27, 1994 4h48m	12.13	B
2449439.7	Mar 28, 1994 4h48m	12.25	B
2449439.82	Mar 28, 1994 7h40m	12.25	B
2449439.92	Mar 28, 1994 10h4m	12.3	B
2449440.7	Mar 29, 1994 4h48m	12.33	B
2449440.75	Mar 29, 1994 6h0m	12.34	B
2449441.47	Mar 29, 1994 23h16m	12.44	B
2449441.7	Mar 30, 1994 4h48m	12.44	B
2449442.43	Mar 30, 1994 22h19m	12.52	B
2449442.5	Mar 30, 1994 24h0m	12.4	B
2449442.84	Mar 31, 1994 8h9m	12.6	B
2449443.84	Apr 1, 1994 8h9m	12.76	B
2449444.5	Apr 1, 1994 24h0m	13.03	B
2449444.7	Apr 2, 1994 4h48m	12.8	B
2449444.83	Apr 2, 1994 7h55m	12.88	B
2449445.5	Apr 2, 1994 24h0m	12.74	B
2449445.7	Apr 3, 1994 4h48m	12.95	B
2449446.7	Apr 4, 1994 4h48m	13.1	B
2449446.81	Apr 4, 1994 7h26m	13.17	B
2449447.95	Apr 5, 1994 10h48m	13.31	B
2449449.77	Apr 7, 1994 6h28m	13.63	B
2449450.39	Apr 7, 1994 21h21m	13.53	B
2449450.5	Apr 7, 1994 24h0m	13.52	B
2449450.64	Apr 8, 1994 3h21m	13.66	B
2449450.96	Apr 8, 1994 11h2m	13.8	B
2449451.51	Apr 9, 1994 0h14m	13.77	B
2449453.79	Apr 11, 1994 6h57m	14.17	B
2449454.76	Apr 12, 1994 6h14m	14.26	B
2449454.81	Apr 12, 1994 7h26m	14.26	B
2449455.7	Apr 13, 1994 4h48m	14.28	B
2449455.81	Apr 13, 1994 7h26m	14.28	B
2449457.7	Apr 15, 1994 4h48m	14.46	B
2449457.8	Apr 15, 1994 7h11m	14.42	B
2449459.7	Apr 17, 1994 4h48m	14.6	B
2449460.73	Apr 18, 1994 5h31m	14.81	B
2449460.81	Apr 18, 1994 7h26m	14.61	B
2449461.75	Apr 19, 1994 6h0m	14.83	B
2449462.74	Apr 20, 1994 5h45m	14.83	B
2449462.78	Apr 20, 1994 6h43m	14.79	B
2449463.78	Apr 21, 1994 6h43m	14.74	B
2449464.76	Apr 22, 1994 6h14m	14.92	B
2449469.4	Apr 26, 1994 21h35m	14.97	B
2449469.77	Apr 27, 1994 6h28m	14.9	B
2449469.85	Apr 27, 1994 8h24m	15.11	B
2449470.77	Apr 28, 1994 6h28m	15.03	B
2449470.88	Apr 28, 1994 9h7m	15.12	B
2449471.87	Apr 29, 1994 8h52m	15.22	B
2449472.81	Apr 30, 1994 7h26m	15.14	B
2449474.72	May 2, 1994 5h16m	15.21	B
2449478.7	May 6, 1994 4h48m	15.27	B
2449478.83	May 6, 1994 7h55m	15.37	B
2449480.68	May 8, 1994 4h19m	15.38	B
2449486.7	May 14, 1994 4h48m	15.36	B
2449486.7	May 14, 1994 4h48m	15.49	B
2449487.38	May 14, 1994 21h7m	15.3	B
2449495.77	May 23, 1994 6h28m	15.62	B
2449497.7	May 25, 1994 4h48m	15.45	B
2449499.48	May 26, 1994 23h31m	15.62	B
2449502.73	May 30, 1994 5h31m	15.79	B
2449504.77	Jun 1, 1994 6h28m	15.83	B
2449507.72	Jun 4, 1994 5h16m	15.83	B
2449510.54	Jun 7, 1994 0h57m	15.67	B
2449510.7	Jun 7, 1994 4h48m	15.61	B
2449512.46	Jun 8, 1994 23h2m	15.64	B
2449516.51	Jun 13, 1994 0h14m	15.75	B
2449529.47	Jun 25, 1994 23h16m	15.99	B
2449546.51	Jul 13, 1994 0h14m	16.26	B
2449716.78	Dec 30, 1994 6h43m	18.68	B
2449725.78	Jan 8, 1995 6h43m	18.62	B
2449745.85	Jan 28, 1995 8h24m	19.11	B
2449752.85	Feb 4, 1995 8h24m	19.07	B
2449753.79	Feb 5, 1995 6h57m	19.03	B
2449768.87	Feb 20, 1995 8h52m	19.46	B
2449776.3	Feb 27, 1995 19h11m	19.75	B
2449776.46	Feb 27, 1995 23h2m	19.79	B
2449831.67	Apr 24, 1995 4h4m	20.56	B
2449865.67	May 28, 1995 4h4m	20.91	B
2449420.9	Mar 9, 1994 9h35m	14.02	V
2449421.58	Mar 10, 1994 1h55m	13.69	V
2449421.66	Mar 10, 1994 3h50m	13.71	V
2449421.66	Mar 10, 1994 3h50m	13.7	V
2449421.7	Mar 10, 1994 4h48m	13.66	V
2449422.58	Mar 11, 1994 1h55m	13.48	V
