Julian Date	Gregorian Day	Magnitude	Uncertainty	Indmag and Band
2451335.69	Jun 6, 1999 4h33m	16.07		U
2451338.65	Jun 9, 1999 3h35m	15.79		U
2451340.65	Jun 11, 1999 3h35m	15.78		U
2451342.65	Jun 13, 1999 3h35m	15.84		U
2451343.69	Jun 14, 1999 4h33m	15.9		U
2451348.68	Jun 19, 1999 4h19m	16.41		U
2451350.66	Jun 21, 1999 3h50m	16.53		U
2451362.72	Jul 3, 1999 5h16m	18.59		U
2451336.69	Jun 7, 1999 4h33m	15.28		B
2451336.6966	Jun 7, 1999 4h43m	15.287	0.013	B
2451337.78	Jun 8, 1999 6h43m	15.21		B
2451337.7858	Jun 8, 1999 6h51m	15.213	0.024	B
2451338.65	Jun 9, 1999 3h35m	15.13		B
2451339.7589	Jun 10, 1999 6h12m	15.124	0.024	B
2451340.65	Jun 11, 1999 3h35m	15.07		B
2451340.69	Jun 11, 1999 4h33m	15.02		B
2451340.6926	Jun 11, 1999 4h37m	15.032	0.011	B
2451342.65	Jun 13, 1999 3h35m	15.08		B
2451343.69	Jun 14, 1999 4h33m	15.09		B
2451343.99	Jun 14, 1999 11h45m	15.11		B
2451348.68	Jun 19, 1999 4h19m	15.39		B
2451350.66	Jun 21, 1999 3h50m	15.53		B
2451362.72	Jul 3, 1999 5h16m	16.85		B
2451363.7404	Jul 4, 1999 5h46m	16.873	0.072	B
2451365.7448	Jul 6, 1999 5h52m	16.839	0.038	B
2451367.7305	Jul 8, 1999 5h31m	16.886	0.178	B
2451368.7221	Jul 9, 1999 5h19m	17.05	0.107	B
2451334.44	Jun 4, 1999 22h33m	14.45		V
2451334.74	Jun 5, 1999 5h45m	14.6		V
2451335.69	Jun 6, 1999 4h33m	14.35		V
2451336.69	Jun 7, 1999 4h33m	14.21		V
2451336.6966	Jun 7, 1999 4h43m	14.215	0.007	V
2451337.78	Jun 8, 1999 6h43m	14.13		V
2451337.7858	Jun 8, 1999 6h51m	14.138	0.014	V
2451338.65	Jun 9, 1999 3h35m	14.02		V
2451339.7589	Jun 10, 1999 6h12m	13.957	0.008	V
2451339.99	Jun 10, 1999 11h45m	13.94		V
2451340.65	Jun 11, 1999 3h35m	13.93		V
2451340.69	Jun 11, 1999 4h33m	13.9		V
2451340.6926	Jun 11, 1999 4h37m	13.902	0.006	V
